"logitHopeless","laggedvol","npshareofm","magnitude","experience","elec_sys","compensatory","federal","presidential","eth_ling85","CountryDistrict","country","logitSF","wastage","enplosing","logitWastage","experience2"
-2.58668933952001,0.545000016689301,0.699999988079071,10,4,"PR",FALSE,0,1,0.219999998807907,"BulgariaA ","Bulgaria",1.09861228866811,0.109999999403954,4.17241382598877,-2.09074110302208,4
-2.7515353368204,0.400000005960464,1.5,4,4,"PR",FALSE,0,1,0.219999998807907,"BulgariaAA","Bulgaria",-0.916290669289277,0.200000002980232,3.77358484268188,-1.38629434249344,4
-2.94443896348101,0.540000021457672,0.777777791023254,9,4,"PR",FALSE,0,1,0.219999998807907,"BulgariaAC","Bulgaria",-0.405465083272898,0.100000001490116,2.94117641448975,-2.19722456077938,4
-2.09074110302208,0.560000002384186,1.5,4,4,"PR",FALSE,0,1,0.219999998807907,"BulgariaAD","Bulgaria",0.91629081532066,0.180000007152557,3.85714292526245,-1.51634744090903,4
-1.90095880335372,0.555000007152557,1.14285719394684,7,4,"PR",FALSE,0,1,0.219999998807907,"BulgariaAE","Bulgaria",1.3862944356257,0.230000004172325,6.08045959472656,-1.20831118236539,4
-2.09074110302208,0.540000021457672,1.79999995231628,5,4,"PR",FALSE,0,1,0.219999998807907,"BulgariaAF","Bulgaria",0,0.230000004172325,5.68817186355591,-1.20831118236539,4
-3.17805385363101,0.370000004768372,0.923076927661896,13,4,"PR",FALSE,0,1,0.219999998807907,"BulgariaB","Bulgaria",0,0.0599999986588955,4.5,-2.7515353368204,4
-1.73460100863937,0.400000005960464,2,4,4,"PR",FALSE,0,1,0.219999998807907,"BulgariaD","Bulgaria",0.91629081532066,0.219999998807907,4.93877553939819,-1.2656663802782,4
-4.59511987271211,0.504999995231628,0.888888895511627,9,4,"PR",FALSE,0,1,0.219999998807907,"BulgariaE","Bulgaria",0,0.0299999993294477,1.79999995231628,-3.47609871287831,4
-2.31363488551423,0.479999989271164,1.5,6,4,"PR",FALSE,0,1,0.219999998807907,"BulgariaF","Bulgaria",-0.182321502156363,0.200000002980232,2.56410264968872,-1.38629434249344,4
-1.8152899616877,0.270000010728836,1.79999995231628,5,4,"PR",FALSE,0,1,0.219999998807907,"BulgariaG","Bulgaria",0.91629081532066,0.209999993443489,4.8461537361145,-1.32492545426446,4
-2.09074110302208,0.344999998807907,2,5,4,"PR",FALSE,0,1,0.219999998807907,"BulgariaH","Bulgaria",1.3862944356257,0.159999996423721,4.12903213500977,-1.65822810321275,4
-1.8152899616877,0.444999992847443,1.5,6,4,"PR",FALSE,0,1,0.219999998807907,"BulgariaI","Bulgaria",0.693147269966916,0.200000002980232,5.55555534362793,-1.38629434249344,4
-2.31363488551423,0.485000014305115,0.777777791023254,9,4,"PR",FALSE,0,1,0.219999998807907,"BulgariaJ","Bulgaria",0.40546520744924,0.140000000596046,4.45454549789429,-1.8152899616877,4
-2.7515353368204,0.305000007152557,3,5,4,"PR",FALSE,0,1,0.219999998807907,"BulgariaK","Bulgaria",1.09861228866811,0.140000000596046,4.45454549789429,-1.8152899616877,4
-2.94443896348101,0.324999988079071,1.33333337306976,9,4,"PR",FALSE,0,1,0.219999998807907,"BulgariaL","Bulgaria",0.693147269966916,0.0799999982118607,4,-2.44234705966458,4
-3.17805385363101,0.41499999165535,0.800000011920929,10,4,"PR",FALSE,0,1,0.219999998807907,"BulgariaM","Bulgaria",0,0.0799999982118607,2.90909099578857,-2.44234705966458,4
-2.7515353368204,0.529999971389771,0.909090936183929,11,4,"PR",FALSE,0,1,0.219999998807907,"BulgariaO","Bulgaria",0,0.119999997317791,3,-1.99243019008991,4
-2.31363488551423,0.41499999165535,1.79999995231628,5,4,"PR",FALSE,0,1,0.219999998807907,"BulgariaP","Bulgaria",0,0.170000001788139,3.32183909416199,-1.58562725106753,4
-2.94443896348101,0.314999997615814,1.875,8,4,"PR",FALSE,0,1,0.219999998807907,"BulgariaQ","Bulgaria",0,0.0700000002980232,5.44444465637207,-2.58668933952001,4
-2.31363488551423,0.224999994039536,1.85714280605316,7,4,"PR",FALSE,0,1,0.219999998807907,"BulgariaR","Bulgaria",0.40546520744924,0.140000000596046,4.66666650772095,-1.8152899616877,4
-1.8152899616877,0.384999990463257,2.59999990463257,5,4,"PR",FALSE,0,1,0.219999998807907,"BulgariaS","Bulgaria",2.07944160873506,0.230000004172325,3.45751643180847,-1.20831118236539,4
-1.51634744090903,0.0850000008940697,1,6,4,"PR",FALSE,0,1,0.219999998807907,"BulgariaT","Bulgaria",1.79175953876681,0.25,5.16528940200806,-1.09861228866811,4
-1.51634744090903,0.569999992847443,2,4,4,"PR",FALSE,0,1,0.219999998807907,"BulgariaU","Bulgaria",0.847297803620876,0.280000001192093,4.50574731826782,-0.944461602927692,4
-4.59511987271211,0.365000009536743,0.666666686534882,12,4,"PR",FALSE,0,1,0.219999998807907,"BulgariaV","Bulgaria",0,0.0299999993294477,1.79999995231628,-3.47609871287831,4
-3.47609871287831,0.400000005960464,0.727272748947144,11,4,"PR",FALSE,0,1,0.219999998807907,"BulgariaW","Bulgaria",0.693147269966916,0.0599999986588955,2.57142853736877,-2.7515353368204,4
-4.59511987271211,0.514999985694885,0.416666656732559,12,4,"PR",FALSE,0,1,0.219999998807907,"BulgariaX","Bulgaria",0,0.0299999993294477,1.79999995231628,-3.47609871287831,4
-2.19722456077938,0.254999995231628,0.5,8,4,"PR",FALSE,0,1,0.219999998807907,"BulgariaY","Bulgaria",1.3862944356257,0.150000005960464,4.41176462173462,-1.73460100863937,4
